Code,Name,Market,Marcap
093380,풍강,KOSDAQ,25636817235
080530,코디,KOSDAQ,25630948460
430690,한싹,KOSDAQ,25549487880
290520,신도기연,KOSDAQ,25524058008
288980,모아데이타,KOSDAQ,25321439784
109960,앱토크롬,KOSDAQ,25316225809
005320,온타이드,KOSPI,25264817455
093240,형지엘리트,KOSPI,25231396449
054940,엑사이엔씨,KOSDAQ,25211896480
047080,한빛소프트,KOSDAQ,25194697430
002355,넥센타이어1우B,KOSPI,25187500000
318000,KBG,KOSDAQ,25171842240
121890,에스디시스템,KOSDAQ,25134124386
225220,제놀루션,KOSDAQ,25119737489
048470,대동스틸,KOSDAQ,25090000000
131220,대한과학,KOSDAQ,25047086400
239340,이스트에이드,KOSDAQ,25037100352
065150,대산F&B,KOSDAQ,24991160320
006740,블루산업개발,KOSPI,24974295900
373170,엠아이큐브솔루션,KOSDAQ,24937753500
146060,율촌,KOSDAQ,24832125230
044780,에이치케이,KOSDAQ,24797754580
123750,알톤,KOSDAQ,24750292869
333050,이노테나,KOSDAQ,24720588400
298060,풍전약품,KOSDAQ,24720051555
464500,아이언디바이스,KOSDAQ,24698109195
187220,디티앤씨,KOSDAQ,24605731955
462510,라메디텍,KOSDAQ,24472242700
053060,세동,KOSDAQ,24420210477
236810,엔비티,KOSDAQ,24359736310
300120,라온피플,KOSDAQ,24306471856
258790,소프트캠프,KOSDAQ,24291524160
200350,아티스트스튜디오,KOSDAQ,24290340750
257370,피엔티엠에스,KOSDAQ,24284440062
097780,에코볼트,KOSDAQ,24189362088
148250,알엔투테크놀로지,KOSDAQ,24158999600
398120,에스지헬스케어,KOSDAQ,24156682440
019175,신풍제약우,KOSPI,24113795300
024890,대원화성,KOSPI,24048254450
134060,이퓨쳐,KOSDAQ,23941635000
462980,아이지넷,KOSDAQ,23887112470
003495,대한항공우,KOSPI,23882071000
036480,대성미생물,KOSDAQ,23864000000
035200,프럼파스트,KOSDAQ,23787550980
065370,위세아이텍,KOSDAQ,23776331880
267790,배럴,KOSDAQ,23759964810
115160,휴맥스,KOSDAQ,23691431500
368600,아이씨에이치,KOSDAQ,23654395555
033200,모아텍,KOSDAQ,23609616885
070590,인티큐브,KOSDAQ,23595185700
013810,스페코,KOSDAQ,23551340290
328380,솔트웨어,KOSDAQ,23470000875
091340,S&K폴리텍,KOSDAQ,23465960605
169330,엠브레인,KOSDAQ,23445655040
019570,GMI벤처,KOSDAQ,23432984820
368970,오에스피,KOSDAQ,23402034675
060380,동양에스텍,KOSDAQ,23383900000
032790,엠젠솔루션,KOSDAQ,23368896460
009310,참엔지니어링,KOSPI,23329484620
018680,서울제약,KOSDAQ,23318638000
403490,우듬지팜,KOSDAQ,23195894320
353190,휴럼,KOSDAQ,23193889380
188040,바이오포트,KOSDAQ,23185971140
340440,세림B&G,KOSDAQ,23071609932
415380,스튜디오삼익,KOSDAQ,23057594625
085810,알티캐스트,KOSDAQ,23057370343
109670,씨싸이트,KOSDAQ,22879479840
032080,아즈텍WB,KOSDAQ,22866454856
054090,삼진엘앤디,KOSDAQ,22837697280
067010,이씨에스,KOSDAQ,22811407500
004270,남성,KOSPI,22777448640
383930,디티앤씨알오,KOSDAQ,22755747840
115480,씨유메디칼,KOSDAQ,22734208125
063760,이엘피,KOSDAQ,22706691550
405920,나라셀라,KOSDAQ,22626779532
139670,키네마스터,KOSDAQ,22590096000
222980,한국맥널티,KOSDAQ,22559382735
397810,애드포러스,KOSDAQ,22552564900
210120,캔버스엔,KOSDAQ,22540854540
377030,비트맥스,KOSDAQ,22480847246
096690,에이루트,KOSDAQ,22447458360
049120,파인디앤씨,KOSDAQ,22369508930
023770,플레이위드,KOSDAQ,22366237500
014100,메디앙스,KOSDAQ,22337400000
241840,에이스토리,KOSDAQ,22323585960
130740,티피씨글로벌,KOSDAQ,22316547741
219750,한국비티비,KOSDAQ,22258226277
098660,에스티오,KOSDAQ,22251737280
052300,오션인더블유,KOSDAQ,22173234720
019660,글로본,KOSDAQ,22157545137
039310,세중,KOSDAQ,22144677074
296640,이노에이엑스,KOSDAQ,22033462260
33626L,두산퓨얼셀2우B,KOSPI,21919442000
008775,호텔신라우,KOSPI,21917272850
051630,진양화학,KOSPI,21899600000
208350,지란지교시큐리티,KOSDAQ,21874239000
101680,한국정밀기계,KOSDAQ,21850400000
084440,유비온,KOSDAQ,21830092361
083660,CSA 코스믹,KOSDAQ,21825443550
317120,라닉스,KOSDAQ,21821800000
440320,오픈놀,KOSDAQ,21806300000
007770,한일화학,KOSDAQ,21797100000
154040,다산솔루에타,KOSDAQ,21723692070
432980,엠에프씨,KOSDAQ,21694148550
377330,이지트로닉스,KOSDAQ,21692977410
378800,샤페론,KOSDAQ,21687981539
429270,시지트로닉스,KOSDAQ,21637170005
352940,인바이오,KOSDAQ,21605047240
000040,KR모터스,KOSPI,21593795000
080720,한국유니온제약,KOSDAQ,21562456300
359090,씨엔알리서치,KOSDAQ,21540023982
342870,오아,KOSDAQ,21528278150
465770,STX그린로지스,KOSPI,21510772400
277410,인산가,KOSDAQ,21510440000
373110,엑셀세라퓨틱스,KOSDAQ,21496931742
347770,핌스,KOSDAQ,21439905396
032280,삼일,KOSDAQ,21418152390
043200,파루,KOSDAQ,21403809280
080470,성창오토텍,KOSDAQ,21352500000
056730,CNT85,KOSDAQ,21329199043
101400,엔시트론,KOSDAQ,21299603432
424760,벨로크,KOSDAQ,21264988320
223310,사토시홀딩스,KOSDAQ,21156869730
238200,비피도,KOSDAQ,21063500000
131180,딜리,KOSDAQ,21043950000
067730,로지시스,KOSDAQ,20944041130
353590,오토앤,KOSDAQ,20935676820
023790,동일스틸럭스,KOSDAQ,20924762608
227610,아우딘퓨쳐스,KOSDAQ,20924536680
090150,아이윈,KOSDAQ,20895771207
065060,지엔코,KOSDAQ,20876495210
195990,루트K,KOSDAQ,20864766594
153490,우리이앤엘하루틴,KOSDAQ,20849400000
900110,딥커머스,KOSDAQ,20760209506
331520,밸로프,KOSDAQ,20729508390
372800,아이티아이즈,KOSDAQ,20689335660
274400,이노시뮬레이션,KOSDAQ,20671771575
290560,파라택시스이더리움,KOSDAQ,20618437060
076080,웰크론한텍,KOSDAQ,20560681960
088290,이원컴포텍,KOSDAQ,20538385400
012340,뉴인텍,KOSDAQ,20501657490
054410,케이피티유,KOSDAQ,20443405080
215480,토박스코리아,KOSDAQ,20438220000
361670,삼영에스앤씨,KOSDAQ,20403568800
017250,인터엠,KOSDAQ,20308875655
043360,디지아이,KOSDAQ,20250000000
200230,텔콘RF제약,KOSDAQ,20244644315
027580,상보,KOSDAQ,20204487285
011090,에넥스,KOSPI,20168848854
021040,대호특수강,KOSDAQ,20142030272
362990,드림인사이트,KOSDAQ,20127087652
193250,링크드,KOSDAQ,20106875232
137940,넥스트아이,KOSDAQ,20016616680
192390,윈하이텍,KOSDAQ,19946270032
015020,이스타코,KOSPI,19883142400
024940,PN풍년,KOSDAQ,19840000000
252500,세화피앤씨,KOSDAQ,19830494420
001420,태원물산,KOSPI,19760000000
032800,판타지오,KOSDAQ,19726589326
154030,아시아종묘,KOSDAQ,19709090678
196700,웹스,KOSDAQ,19678877280
140430,카티스,KOSDAQ,19668692880
001685,대상우,KOSPI,19662700050
065650,하이퍼코퍼레이션,KOSDAQ,19648046665
303530,이노뎁,KOSDAQ,19595928330
351870,차이커뮤니케이션,KOSDAQ,19564605426
016100,리더스코스메틱,KOSDAQ,19482911880
058450,한주에이알티,KOSDAQ,19451883360
073570,리튬포어스,KOSDAQ,19404172736
115530,씨엔플러스,KOSDAQ,19316733450
431190,케이쓰리아이,KOSDAQ,19315020360
048830,엔피케이,KOSDAQ,19285640690
115610,이미지스,KOSDAQ,19276412239
103230,에스앤더블류,KOSDAQ,19260000000
065690,파커스,KOSDAQ,19233534139
214610,롤링스톤,KOSDAQ,19197807380
096870,엘디티,KOSDAQ,19158657705
275630,에스에스알,KOSDAQ,19071323040
078860,아이오케이이엔엠,KOSDAQ,18994853100
067770,세진티에스,KOSDAQ,18976300180
417180,핑거스토리,KOSDAQ,18852815625
031860,디에이치엑스컴퍼니,KOSDAQ,18714758139
018620,우진비앤지,KOSDAQ,18649721580
115570,스타플렉스,KOSDAQ,18643826180
438700,버넥트,KOSDAQ,18623111190
032680,소프트센,KOSDAQ,18540878209
108675,LX하우시스우,KOSPI,18478707000
279600,미디어젠,KOSDAQ,18458037140
006200,한국전자홀딩스,KOSPI,18449795817
419540,비스토스,KOSDAQ,18321627975
002360,SH에너지화학,KOSPI,18281498585
335870,윙스풋,KOSDAQ,18258015570
037400,우리엔터프라이즈,KOSDAQ,18094108740
020400,대동금속,KOSDAQ,18082571220
054220,비츠로시스,KOSDAQ,18080124576
045520,크린앤사이언스,KOSDAQ,18005000000
00499K,롯데지주우,KOSPI,17964946900
051780,큐로홀딩스,KOSDAQ,17961468525
322780,코퍼스코리아,KOSDAQ,17949660000
069330,유아이디,KOSDAQ,17918870718
365900,브이씨,KOSDAQ,17690926000
050760,에스폴리텍,KOSDAQ,17657786918
008600,윌비스,KOSPI,17615839860
224060,더코디,KOSDAQ,17598062020
009440,KC그린홀딩스,KOSPI,17568790596
060900,에이전트AI,KOSDAQ,17540765835
303030,지니틱스,KOSDAQ,17426676828
405000,플라즈맵,KOSDAQ,17407343540
110020,전진바이오팜,KOSDAQ,17329411706
083470,이엠앤아이,KOSDAQ,17285666490
060260,뉴보텍,KOSDAQ,17184954528
006050,국영지앤엠,KOSDAQ,17098669070
034940,조아제약,KOSDAQ,17038904850
008470,부스타,KOSDAQ,17019720000
309930,조이웍스앤코,KOSDAQ,16906670542
354200,엔젠바이오,KOSDAQ,16890141870
482680,미래에셋비전스팩7호,KOSDAQ,16881825000
241820,피씨엘,KOSDAQ,16803871920
477380,미래에셋비전스팩4호,KOSDAQ,16767000000
073190,듀오백,KOSDAQ,16575735400
306040,에스제이그룹,KOSDAQ,16327945340
018700,졸스,KOSDAQ,16260447954
002025,코오롱우,KOSPI,16199700520
015260,에이엔피,KOSPI,16113977748
065770,CS,KOSDAQ,16109078048
079950,인베니아,KOSDAQ,15937960500
344860,이노진,KOSDAQ,15855540000
043590,웰킵스하이텍,KOSDAQ,15807163865
191410,육일씨엔에쓰,KOSDAQ,15753182530
131760,파인텍,KOSDAQ,15739604592
0072Z0,KB제33호스팩,KOSDAQ,15588645000
18064K,한진칼우,KOSPI,15512537400
005725,넥센우,KOSPI,15464577000
060230,제이케이시냅스,KOSDAQ,15448854456
418620,E8,KOSDAQ,15384119675
0101C0,하나36호스팩,KOSDAQ,15371640000
477340,에이치엠씨제7호스팩,KOSDAQ,15357950000
0130H0,엔에이치스팩33호,KOSDAQ,15330700000
030350,드래곤플라이,KOSDAQ,15171092867
009620,삼보산업,KOSDAQ,15166605664
012170,아센디오,KOSPI,15147145112
900340,윙입푸드,KOSDAQ,15048947472
009730,이렘,KOSDAQ,15025847652
0044K0,삼성스팩10호,KOSDAQ,14934720000
142760,모아라이프플러스,KOSDAQ,14716276020
001000,신라섬유,KOSDAQ,14615079080
